ami,english,source,kindOf,dialect
"Ma'orad i honi, nika masalaw to imatini.","It just rained, and now it's stopped.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ma'orad to hay?,Is it raining?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Mato nama'oraday, ma'opic ko lalan.",It seems to have rained and the road is wet.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ma'orad hay? Nawiro maropena' kiso?,Is it raining? Why are you all wet?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Ma'orad i papotal, mapawan kako a cicacelakan.","It's raining outside, so I didn't bring an umbrella.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Nga'ay ho^ kiso?,Are you all right?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Tata'ak ko fali^, adada^ sa ko tangal ako.",The wind is blowing so hard that my head hurts.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mamaan kiso?,Are you all right?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Tata:'ak ko cidal, sinawar sa ko tangal ako.","The sun is so big, it makes me dizzy.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mapawan kako mihakiwid to impic ako.,I forgot to bring my pen.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pacaliwen ako kiso.,I can lend you.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mapawan kako mihakiwid to 'alapit ako.,I forgot to bring my chopsticks.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mapawa:n kako to no mako. Tata micakay kita.,"I don't have one either, let's go buy one.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Micakay kita to impic haw?,"Let's go buy a pen, shall we?",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, o sasisit ko roma^.","Well, I still have to buy erasers.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Micakay kita to sakaranam haw?,"Let's go get breakfast, shall we?",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hamaanen, maranam to kako i loma'.","No, I've already eaten at home.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mapawan kako a mietim to tafo^ ako.,I forgot to steam my lunchbox.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Oli paecoyen ari.,Take it to the heat!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mapawan kako a citafo^.,I forgot to bring my lunchbox.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Makomod aca kita a komaen to tafo^ ako.,Then let's eat my lunch box together!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
O maan ko sakalahok iso?,What are you having for lunch?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
I picodadan kako a malahok.,I want a nutritious school lunch.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
O maan ko sakalahok iso?,What are you having for lunch?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Citafo^ kako anini^, makomod kita a malahok haw?","I've brought a lunchbox today, let's eat together at noon!",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tata mimali^ kita!,"Let's go play basketball, shall we?",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Hay! Tata!,Okay! Let's go.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Miyak-kiw kita haw?,Shall we go play baseball?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Na'ay, micodad kako.","No, I want to study.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Alaen ho ko saasik oli!,Please help me with the broom.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, ini ko saasik.","Okay, here's a broomstick for you.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Alaen ho ko co-king oli?,"Can you get me a rag, please?",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Miasik kako. Ka ci Kacaw ko ocoren!,"I'm sweeping the floor, you ask Kacaw to help you.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Maherek to kiso a miasik hay?,Are you done sweeping?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Maherek to!,I swept it.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Naw caay piasik kiso?,Why don't you clean up?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Maherek to kako a misasik.,I've finished cleaning up.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Ci'oning ko kalaeno^ no sapad, sisiten ho oli!","The floor under the table is dirty, go wipe it.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, miala^ kako to sasisit.","Okay, I'll go get the cloth.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Ma'oning kora sasingaran, sisiten ho oli^!","That window is very dirty, go clean it.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Talaen ho, caay ho ka herek kako a miasik.","Wait a minute, I'm not done sweeping here yet.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mimaan kiso anohoni?,What are you doing later?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Milicay kako to singsi^.,I'm going to see my teacher.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tatalacowa^ kiso i ikor no pipahanhanan?,What do you do after school?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Romadiw kako ato idang ako.,I'm going to sing with my friends.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tatalacowa^ ciira i ikor no pipahanhanan?,What's he doing after school?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tala'alo^ ciira a midangoy.,He's going swimming.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
I loma' ci Lisin hay?,May I ask if Lisin is home?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
I loma' to. Picomodi!,"She’s at home, please come in.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
I loma' ci Lisin hay?,May I ask if Lisin is home?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Awaay! O maan ko demak?,"She’s not here, what can I do for you?",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Cima^ saw?,Who is it?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Akong, ci Panay kako. Fohaten ho ko loma'.","Grandpa, I’m Panay, please open the door.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Cima^ sa kiso?,Who is it?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ci Dongi^ kako. Tayni kako miholol.,"I’m Dongi, I’m here to play.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Halafin to caay ka 'araw kiso.,Long time no see.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, maoron i tisowanan. Picomodi!",Yeah! I’ve missed you. Come on in!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Kamaro'! Ini ko o-cya^.,Please sit down and have some tea.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Aray!,Thank you.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ini ko U-cya^!,Please have some tea.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Watah! Fangsis ko o-cya^ namo!,Your tea is delicious.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Komaena ho kita to swey-kwo.,Let’s eat fruit!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Nga'ay to! Fangcangcal a nengnengen kona swey-kwo.,Yes! These fruits look great.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Kaeso' ko swey-kwo hay?,How is the fruit?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, kae:so'!","Yes, it’s really delicious.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Maherek to ci ina^ a misakalafi^. Dada malafi^!,"Mom has cooked dinner, come and eat!",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, menanaw ho kako.","Okay, I’ll go wash my hands.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ka halikaenen! O maan ko kangodoan?,"Try to eat and drink as much as possible, you’re not an outsider.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Adihay ko nikamaen ako. Tada mafecol.,"I ate a lot, I’m full.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Ka halikaenen, aka ka ngodo^.","Eat more, don’t be polite.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, kaeso' ko kaen ako.","Well, it’s delicious.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Itoan to kako. Tayni hato ako ano cilimaw.,"I’m leaving, I’ll see you next time.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, Na'onen ko rakat.","Okay, goodbye.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"To'eman to, talaloma' to kako.","It’s late, I’m going home.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tayni hato haw!,Come again next time!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Na'onen ko rakat!,Walk slowly and carefully.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Hay. ano cilimaw tayra hato i loma' ako a miholol. .,"Okay, come to my house sometime.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Nga'ay ho, mapo:long! Anini^ a romi'ad kiriden no singsi^ kita a tayra i niyaro' miliso' to mato'asay.","Hello everyone, today I’m taking you to the tribe to interview the elders.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tatangasa^ to kita hay?,Are we almost there?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tatangasa^ to!,Almost there.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Akong, tayni kami miliso' tisowanan.","Grandpa, we’ve come to see you.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Yay! Mafana' kamo a misanoPangcah! Fangcal!,You speak Pangcah! That’s great!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Nga'ay ho, Mapo:lng! Anini^ tataen ako kamo a tayra i hafahafayan a matayal.","Hello everyone, today I will take you to work in the millet field.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, singsi^.","Yes, sir.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ka satisil itini. Matawala ko lalosidan namo.,"Come and line up, remember to bring your tools.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, singsi^. Ini to ko lalosidan niyam.","Yes, sir, we’ve got our tools.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Tatangasa^ to kita hay?,Are we there yet?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Caay ho^. Maraay ho^.,"Not yet, it’s still far away.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pipananomi kiso.,You go watering.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, kako ko mipananomay.","Okay, I’ll water it.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Piala^ kiso to sapifahoy to 'ayam.,You go get the bird catcher.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, mifahoy kako to 'ayam.","Okay, I’ll go and catch the birds.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Nga'ay ho, mapo:long! Tayra kita i tong-o-yin anini^.","Hello everyone, we are going to the zoo today.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Iri:! Pakamaan kita a tayra?,Awesome! How are we going to get there?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakafaso^ kita.,Let’s take the bus.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Kasatisil a mapo:long. Micakay kita to paya.,"Everyone line up, we are ready to buy tickets.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Hay.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
O 'aya'ayam ko i ka'ayaway. O 'one'oner ko i kaikoray. Namo hato a minengneng.,There are birds in the front and snakes in the back.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Singsi^, matalaw kako to 'oner.",I’m afraid of snakes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Ano matira, ka o 'ayam ko nengnengen.","It doesn’t matter, then you go and watch the birds.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ikor no cecay tatokian patiko^ masa'opo^ kita itini.,We’ll be back in an hour.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, aray singsi^.","Yes, thank you.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
O maan ko manengnengay iso?,What did you see today?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Adihay ko manengnengay ako a 'oner ato 'ayam.,I saw a lot of snakes and a lot of birds.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Katahenay, o aitoan to kita.","Hurry up, we have to go.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Talaen ho kako, matimel ko wa'ay ako.","Wait for me, my feet are tired.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Malahakelong kita a midangoy haw?,Shall we go swimming together?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Nga'ay to! Tata ri!,Yes! Let’s go!,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
'Aloman ko midangoyay itini.,There are a lot of people swimming here.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Talolong itira, itini han ita a midangoy.","The water there is deep, so we just swim here.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan kiso a tayni?,How did you get here?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Rakat sa kako.,I came on foot.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
O maan ko dakawen iso a tayni?,What kind of car did you take?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakafaso^ kako.,I came by bus.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan kiso a talakiwkay?,How do you go to church?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Topinen ni mama^ ako kako to paliding.,Dad drove me with him.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan ciira a talapicodadan tomatira?,How does he usually go to school?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Paka-cyi-yon ciira a talapicodadan.,He took the subway to school.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan ci ama: iso a micakay to sinafel?,How does your grandmother go to the grocery store?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakaotofay ciira a micakay to sinafel.,She went to the grocery store on a motorcycle.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan kiso a talaFotod?,How are you going to get to Orchid Island?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakalonan kako.,I want to take a boat to Lanyu.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan ciira a talaFotod?,How did he get to Orchid Island?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakahikoki^ ciira.,He took a plane to Orchid Island.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakamaan ciira a talaTakaw?,What bus did he take to Kaohsiung?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Paka-kaw-tyi ciira.,He took the THSR to Kaohsiung.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakacilamalay ciira a tala-Taytong hay?,Did he take a train to Taitung?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, pakacilamalay ciira.","Yes, he took a train to Taitung.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakacilamalay ciira a tala-Taytong hay?,Did he take a train to Taitung?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Caay, pakahikoki^ ciira.","No, he took a plane to Taitung.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ira ko pitalaan to faso^ itini hay?,Is there a bus stop near here?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, Ira. Do^do^ han kina lalan i, ma'araw ito.","Yes, if you go straight ahead, you will see the bus stop.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Icowa^ ko samangataay pidakawan to cyi-yon?,Where is the nearest MRT station?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Awaay ko pidakawan to cyi-yon itini"", dengan paka-hay-ya^ kiso.","There is no MRT station here, you can only take a taxi.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Hacowa^ ka halafin ta tangasa^ i picodadan?,How long does it take to get to the school by bus?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Safaw-lima^ no efon ri tangasa^ to.,15 minutes to school.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Hacowa^ tatokian tangasa^ i Taycong ano paka-kaw-tyi?,How long does it take to get to Taichung by THSR?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Maedeng cecay tatokian.,About an hour.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Ano pakapaliding a tala-Ulay i, hacowa^ ka halafin?",Is it a long drive to Ulai?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Maedeng cecay tatakian.,It takes about an hour.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Paka-cyi-yon kiso a tayni i loma' ako, hacowa^ ka halafin?",How long did it take you to come to my house by subway?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Pakatosa^ polo' no efon.,It takes 20 minutes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Mafana' kiso a pakacitingsya^ hay?,Do you know how to ride a bicycle?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, mafana' kako.",I can ride a bicycle.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ciotofay kiso hay?,Do you have a motorcycle?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
"Hay, ira ko otofay ako.",I have a motorcycle.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Ira ko otofay iso hay?,Do you have a motorcycle?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Awaay ko otofay ako.,I don't have a motorcycle.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Manga'ay kako palicay i tisowanan haw?,Can I interview you?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Manga'ay to.,"Yes, I would love to.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Manga'ay kako palicay i tisowanan haw?,Can I interview you?,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Na'ay! A:wa^ ko kafana' ako.,"Don't, I don't know much about it.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Cilimaw kiso i herek no lahok haw? Mangalay kako mitengil i tisowanan.,"Are you free this afternoon? I'd like to visit you, is that okay?",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
Nga'ay to. Talaen ako kiso i loma'.,"Okay, I'll wait for you at home.",FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan
