tsu,chinese,source,kindOf,dialect,row_type,split
mo yone psoseongana 'o anana'o emoo'o.,我的故鄉在阿里山。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo yoneno na yoomo?,你們的部落在哪裡?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
'a mo yone tapangʉ 'o yoomza.,我們的部落在達邦。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tako la yoovei no yooso ho homna?,你什麼時候會回去部落?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
zoo oko to coo a'o.,我是鄒族小孩。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mo maineno co hie maitan'e?,今天天氣如何?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mico espayo si hie. mo na'no mo'ei.,"太陽出來了,天氣很熱。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mio nana soyʉmʉ si yafana?,外面會很冷嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo na'no soyʉmʉ, te aʉyʉcʉ sʉ'eʉsʉ.","很冷,要多穿衣服。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mio na'no mo'ei si yafana?,外面會很熱嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"o'a mios'a, mico poepe, na'no sohoyo.","不會,起風了,很涼快。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo maineno co hie maitan'e?,今天天氣怎麼樣?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"maitan'e o'a mo soyʉmʉ, o'a mo mo'ei,mo na'no sohoyo.","今天不冷也不熱,很舒服。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te nana maineno na hie ho yofna?,今天晚上天氣如何?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
"o'a mo yaa cmʉcmʉ ta engʉca, co espayo ta congeoha.","天空沒有雲,星星出來了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo maineno co hie ta yafana?,外面天氣如何?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mico tosvo mʉchʉ, co espayo si hie, ho yoyafo ta hioyo.","雨剛剛停,出了太陽,彩虹出來了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mio maineno na hie no imo yoni?,你那裡的天氣如何?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo na'no poepe 'e imza yoni.,我們這裡颳大風。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mio ʉmnʉ na hie no iko yoni?,你那裡的天氣好嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mio na'no ʉmnʉ, mo yoyafo ta hie.","很好,出大太陽。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te'o co toatmopsʉ.,我要去上學了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
"mo na'no soyʉmʉ 'e hie,mateoskopʉ no yʉsʉ.","天氣很冷,要多穿衣服。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te'o co emoyafo.,我要出門了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
"tenac'o smʉnʉ'ʉ, teko taloa mahafo to oyofnga.","等一下會下大雨,你要記得帶傘。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tee eno mʉchʉ?,會下雨嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo moni 'o ak'e engʉca, tena ahtoo'te mʉchʉ.","剛剛打雷了,等一下應該就會下雨。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mico mʉchʉ?,下雨了嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"moso mʉchʉ, mico tosvo.","剛剛有下雨,現在雨停了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"mais'a moso co mʉchʉ, mo noe'ʉcʉ 'e ceonʉ.","好像下過雨了,馬路是濕的。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mio mʉchʉ? mainci aocono noe'ʉcʉ si feangoso?,有下雨嗎?你怎麼全身都濕了?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo mʉchʉ si yafana, mo'o ta'payo'ʉ maafo to oyofnga.","外面在下雨,我沒有帶雨傘。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
miko ʉm'ʉmnʉ?,你還好嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo na'no poepe, anga ta'poepza co congo co fngoo'o.","風好大,吹得我頭好痛。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo na'no cong'e hie, anga hioza co moyomo co fngoo'o.","太陽好大,曬得我頭好暈。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te'o yoevahneni soo.,我借你。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o ta'payo'ʉ mahafo to hoso.,我忘了帶筷子。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"o'a mi'os'a h'onano maafo, teto no mhino.","我也沒有帶,我們去買。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teton'a mhia 'oyomza tmopsʉ. zoo?,我們去買筆好嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, te'o maezo mhia smaofsoso.","好,我還要買橡皮擦。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teton'a mhia otaseona. zoo?,"我們去買早餐,好嗎?",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"o'ate, mo'oco bonʉ ne emoo.","不要,我在家吃過了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o ta'payo'a taneana 'o cʉyʉ'o.,我忘記蒸便當了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
aopcieva yaa ho taneana!,趕快拿去加熱吧!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o ta'payo'ʉ maafo no cʉyʉ.,我忘記帶便當了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teto eno opoepohʉ ta cʉyʉ'o!,那我們一起吃我的便當吧!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
coma na tako ana ho cohzona?,你中午要吃什麼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
coma na tako ana ho cohiona?,你中午要吃什麼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ta'o bonʉ to 'oanʉ ne 'oyonatmopsʉ.,我要吃學校的營養午餐。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
"mi'o maafo to cʉyʉ maitan'e, tato opoepohʉ ho cohzona.","我今天有帶便當,我們中午一起吃吧!",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
teto eno peispak'i to lankio. zoo?,"我們去打籃球,好嗎?",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"te ʉmnʉ, teto co e'ohʉ.",好喔!我們走。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"teto eno eobako to yakio, zoo?","我們去打棒球,好嗎?",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"o'ate, te'o tmposʉ.","不要,我要讀書。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
tekon'a yaa si si'ngi ho faeni a'o.,請你幫我拿掃把。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"zoo, 'e si'ngi eni te'o faeni soo.","好,這支掃把給你。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
yaeni ta yʉteʉ a'o. zoo?,幫我拿布好嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mi'on'a tosi'ngi, poa yaeni ta voyo.","我在掃地,你叫voyu幫你拿。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
iko co aepʉnga tosi'nga?,你掃好了嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o co aepʉnga tosi'nga.,我掃好了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mainci miko o'te tosi'ngi?,你怎麼不打掃?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o co aepʉnga tosi'nga.,我打掃完了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"na'no ca'i si la p'ep'ecihi, naho no pahisin'a.","地板很髒,去擦一下。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo,te'o mayo to yʉteʉ.","好,我去拿布。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo na'no ca'i ta pethʉ'ta, pahisin'a.","那個窗戶很髒,去擦一下。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"'otemoco, 'amco os'os'a aepʉnga tosi'nga eni.","等一下,我還沒掃完這裡。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
coma na tako co hioa?,你等一下要做什麼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ta'o i'ima 'o lema'cohio.,我要去找老師。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
coma na tako hioa ho tac'o tosvo tmopsʉ?,你放學要做什麼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
ta'o fiho to nanghia'o ho pasonaeno.,我要跟朋友去唱歌。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
coma na tasi hioa ho tac'o tosvo tmopsʉ?,他放學要做什麼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tena yoohngozo.,他要去游泳。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
toocosi na'a mio yonta emoo 'o yangoi?,請問yangui在家嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mio yonta emoo, naho yʉmeʉmʉ.","她在家,請進來。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
toocosin'a mio yonta emoo 'o sayongo?,請問sayungu在家嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"o'amos'a yontan'e, coma na teko hioa?","她不在,請問你有什麼事?",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
zoo sias'a?,是誰阿?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"ak'i, 'a paicʉ a'o, paavin'a si phingi.","爺爺,我是paicʉ,請開門。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
zoos'a sia?,請問哪位?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"apo'o, 'a paicʉ a'o, te'o i'eima soo ho peispak'i.","apu'u,我是paicʉ,我來找你玩了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo eno! os'o na'na taloa na soo, aopcio ohtan'e teto ya'ei.",是啊!我很想念你。快來聊天吧!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
yosohngon'a. mimo ta 'ocea.,"請坐,請喝茶。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mimo ta 'ocea.,請喝茶。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
'oaa! na'no mafe 'e 'oceamo.,你們的茶真好喝。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teton'a bonʉ ta soikoo.,我們來吃水果吧!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
zoo! na'no mimafe 'e soikoo tan'e.,好喔!這些水果看起來很棒。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mio mafe 'e soikoo?,水果好吃嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mio, mo a' ʉmtʉ na'no mafe.","是,真的很好吃。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mico toecoyo to oyofna 'o ino, naho co aopcio ohtan'e ho bonʉ!","媽媽煮好晚餐了,快來吃吧!",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, te'o yoemoco n'a.","好,我去洗手。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"ooyoseʉ'sio, zoo eno mocmo na soo.","盡量吃喝,你又不是外人。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"mico ango man'i 'o os'o ana, co oengozo.","我吃了很多,很飽了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"naho ovaho, 'ote koe'i.","多吃一點,不要客氣。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, a'ʉmtʉ na'no mafe.","好,真好吃。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"te'oco mongoi, ta'o la i'vaho ohtan'e ho aiti soo.","我要離開了,下次再來看你。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, hovahi'sio.","好的,再見。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mico ango yofna, te'o co maine'e.","很晚了,我要回家了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tako la i'vaho ohtan'e.,下次再來玩喔!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
bomemealʉ coeconʉ.,小心慢走。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, ohne emoo'o hociko la meemelʉ.","好的,有空來我家玩。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"acʉhʉ ʉmnʉ, maitan'e te hafa ta lema'cohio ho ohto yoo ho tohtoocosʉ to mamameoi.","大家好,老師今天要帶大家去部落訪問耆老。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"na'no ʉmnʉ, teto ohto mamameoi ho boa coo.",好喔!我們要跟耆老說鄒語。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teto co mon'i sʉc'ʉhʉ?,我們快到了嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tenac'o sʉc'ʉhʉ.,快到了。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"ak'i, mimza ohtan'e ho aiti soo.","爺爺,我們來看你了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
'oaa! ma mimo meelʉ boa coo! a'ʉmtʉ na'no ʉmnʉ!,哇! 你們會說鄒語啊!真是太棒了!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"acʉhʉ ʉmnʉ, maitan'e te hafa ta lema'cohio ho ohto toton'o ho yaahioa.","大家好,老師今天要帶大家去小米田工作。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"acʉhʉ ohtan'e ho bitoyange, talʉa hafa 'o te tititha.","大家過來排隊,記得帶好工具。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, lema'cohio, imza co acʉha hafa 'ete tititha.","是的,老師,我們都拿好工具了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mitoco sʉc'ʉhʉ?,我們到了嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"o'a moco,mon'a covhi.","還沒到,還很遠。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
tekon'a cohmo to chomo.,你去澆水。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo,te'o cohmo to chomo.","好,我來澆水。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
tekon'a yaa 'o etaptakʉ.,你去拿趕鳥器。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, te'o etaptaka 'o zomʉ.","好,我去趕鳥。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"acʉhʉ ʉmnʉ, teto ohto emoo no mayoyoansoo maitan'e.","大家好,我們今天要去動物園。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
"na'no ʉmnʉ, teto maineno hote ohne'e?",好棒喔!我們要怎麼去呢?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
'a teto yonto vaso.,我們搭公車去。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"acʉhʉ bitoyange, teto ayocʉ mhia kipo.","大家排好隊,我們準備買票。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"zoo mazozomʉ sica, zoo mafkofkoi ta'e. acʉhʉ iachi bobaito.","前面是鳥類,後面是蛇類,大家自己參觀。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"lema'cohio, la'o smoyo to fkoi.",老師我會怕蛇。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"'opena, naho eno baito to zomo.","沒關係,那你去看鳥。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tato yo'eteoyono to cono masconi.,我們一個小時後回來集合。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"zoo, 'aveoveoyʉ lema'cohio.","好,謝謝老師。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
zoo coma na iko aiti maitan'e?,你今天看到了什麼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo man'i 'o os'o aiti ci fkoi. ho ma'i 'o zomʉ.,"我看到了好多蛇,還有好多鳥。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"aopcio, teto co e'ohʉ.","快一點,我們要走了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"totea na'a a'o, mo ngoseo co t'ango'o.","等我一下,我的腳好累。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
"teo na'a nʉthʉ ho yoohngozo,zoo?",我們一起去游泳好嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
zoo! co e'ohʉ.,好啊!走吧!,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
na'no botngonʉ 'emo yontan'e ho yoohngozo.,這裡有好多人在游泳。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"mo na'no fozo ta chomo ta'e, tetoc'o yontan'e ho yoohngozo.","那裡水很深,我們在這裡游泳就好。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
miko boacoma ho ohtan'e?,你怎麼來的?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o coecono ho ohtan'e.,我走路來的。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
miko yono coma ho ohtan'e?,你搭什麼車來的?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o yonto vaso ho ohtan'e.,我搭公車來的。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
miko boacoma ho ohne kiokai?,你怎麼去教會?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo 'oten to koyai 'o amo ho hafa a'o.,爸爸開車載我一起去。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
lata boacoma ho toatmopsʉ?,他平常怎麼去學校?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
la nooyo to cieyʉn ho toatmopsx.,他搭捷運去學校。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
la boacoma hola mhia chae 'o ba'iso?,你的奶奶怎麼去買菜?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
la yonto 'ootoovai ho mhia chae.,她騎摩托車去買菜。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teko boacoma ho ohne lanyi?,你要怎麼去蘭嶼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
ta'o yonto 'apango ho ohne lanyi.,我要搭船去蘭嶼。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita boacoma ho ohne lanyi?,他怎麼去蘭嶼?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mita yonto hikooki ho ohne lanyi.,他搭飛機去蘭嶼。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
coma na ita yoni ho ohne takao?,他搭什麼車去高雄?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita yonto kaothie ho ohne takao.,他搭高鐵去高雄。,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita yono koyai no yaa pozo ho ohne taitoo?,他是搭火車去臺東嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"o'a, 'a mita yonto hikooki ho ohne taitoo.","不是,他搭飛機去臺東。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
pano 'otosva vaso ta com'o tan'e?,這附近有公車站嗎?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"panto, emosngʉcʉ tac'o aiti 'o 'otosva vaso.","有,往前走就會看到公車站了。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo yoneno namo atva'esi com'o ci cieyʉn tan'e?,離這裡最近的捷運站在哪裡?,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
"ok'a cis'a cieyʉn tan'e, tekoc'o yonto haiya.","這裡沒有捷運站,你只能坐計程車。",Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
