xsy,chinese,source,kindOf,dialect,row_type,split
matawaw ila kia ka kil SaiSiyat saboeh.,和賽夏人一起工作。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isahiza sia tortoroe' ila ka saysiyat koSa: moyo ra:am tnon a ma tnon ka.,"她教導賽夏人,說:「你們會織布嗎?」",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
hiza SaiSiyat ma' hayza' ka 'ima ra:am tnon ra:am tnon hasa' ma sihoe kano' koSa'en sihoe hoba:ang hara ka ka kaybae:en hiza.,"那時候賽夏人也有會織布,會製線什麼的,繪畫那種衣服的圖樣。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
a tnon noka kano' hiza ha rareme 'okik hinghae' isaa ra ro hoba:ang noka isaza tononon.,"織布的時候用什麼染料之類的,織出來的衣服顏色都不同。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ma 'ita tatoeroe' lasia saboeh sia toertoeroe ila ka SaiSiyat saboeh.,"請她來教我們,教導我們全部的賽夏人。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza tabin haysani koSa'en hara ka sihoewan kaybae:en.,直到現在像那樣的織布的方法,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ma ra:am ila hiza ka SaiSiyat.,賽夏人知道織布的方法了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
koSa: 'ampowa' sia hiza kin ra:am ka inak hiza'an ka tatnon.,"就說,為什麼她那麼會織布?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza komoSa: So: nak isaa soka' 'ita' tapapasihinghae' ila ka tnon.,"如果是這個原因的話,那我們來比賽吧。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
nihiya' 'akoy ka tnon.,看誰織的多。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza hiza ka SaiSiyat koSa: yao ra:am 'atomalan na' ini tnon.,賽夏人說:「我很會織布。」,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
nisia kita' nisia ka ka'aSkanan ka hiza tnon ma' isahiza ka kano' noka kaeh'oe ka pehez.,她看到雷女放織布的箱子是用什麼樹之類的果實殼作成的。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
roSa' kaplalazemen isaa askanen ri'haw 'i'izo' hiza sai noka SaiSiyat lika paskayzaeh ka koSa'en sazakepan.,那賽夏人放衣服的箱子是用兩個樹木做的箱子合在一起。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
koSa So: yao siobaz niSo' ma isaa ma yao ma' kayni' ila ma yao ma 'am nak'ino ka mita' paeraehraengan hiza koSa: kayzaeh So:.,"他們討論贏的人怎麼樣,輸的人怎麼樣,另外一個人說好。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
koSa: 'aSkan ka kapanrahiyan kita'.,放在衣架上看。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'aehae' kapanrahiyan yo ma to:o' may'amet ila zi'saza hao nisia ma' 'ima koSa: ma'an hini 'aehae' kapanrahiyan ma' ak 'akoy 'atomalan ila.,"一個衣架又三件,掛的滿滿的。他說,我有一個衣架的衣服。也已經很多了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
kayzaeh ma'an komoSa: la'oz ila hini la'oz ila si'an hini kin 'akoy.,"很好,我的已經夠多了,非常的多。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'askan 'i'izo'.,衣服放在裡面。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'aehae' kapanrahiyan mayhae'hae' ila kinae'hae'an naehaen kapanrahiyan.,"滿滿一衣架,還一個一個衣架掛著。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
roSa' ila kapanrahiyan to:o' kapanrahiyan hini ma'.,"兩個衣架,三個衣架了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'akoy nanaw pa'al'oehaz.,還拿出更多來。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isaa lasia ma'oe'oe' ri'saza.,他們吵起來了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
ma koSa: so: nak isaa hi moyo sahoewis 'iyakin koSa 'aewhaey ma' isaa kayzaeh yao ma'.,"她就說,如果你們那麼討厭我的話,也好。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'am lobih ila ila haw ray 'inkaehoelan.,我要回去我家了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza kathethel koSa: yao nanaw 'okik lobih rara'itin yao ti'lilihin noka kabalihan tina noka minatini' ka balih yao 'am nak'ino'.,"雷女說如果我沒有回去,會繼續被賽夏學生欺負。那我要怎麼辦?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'aewhaey ma'an ka kin'i'iyaeh mwa:i' rini a ka moyo.,"我到你們這裡,我的生活不快樂。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ya:o 'ita' tarasiwazay ila manabih ka kamamanra:an komoSa: rasiwazay ila isaa taparasiwazay mita' hini korkoring 'aehae' nanaw o: 'am nak'ino ila.,"分開吧。男人說:「分開吧。可是我們只有一個小孩,要怎麼辦呢?」",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
ma' 'ana 'aehae' ma' kayzaeh mita' ta hiwa' ta 'roSa'ani o:.,"只有一個也好,我們把小孩切成兩半。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
lasia o: siroSa' ka korkoring tiroSa'en nasia.,他們把小孩切成兩半。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
lalasia rasiwazay ila.,然後他們就分手了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isaso o: ma'an ka 'araSen o: So: inowan 'ita' 'ipilaz.,"如果我把他帶回去,我們多久以後再見面?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ila sa'oewaz potngor ila nasia ka paraehraengan.,到了他們約定的日子。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
maraS ka korkoring hiza ka kathethel komoSa: ta sasbong mita' riha'o.,"雷女帶了小孩子來,說我們在那裡見面。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ma nisia haysia ma 'i'iyaeh.,她的小孩還活著。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
sa'oewaz 'ahoewis 'atomal ka inaz'azem rima' sasbong kosa: niSo korkoring hayno' ila.,"見面時心裡很難過,她問說:「你的小孩去哪裡了?」",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'am ma nom 'i'iya mita' tiroSa'en sroSa' ma' isaa masay ila bo:ok ila 'oka' ila.,"我們把他切成兩半,現在死了,爛了,沒有了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
kita' ma'an ka korkoring hini 'ampowa' kayzaeh 'okik bo:ok.,"看我的小孩為什麼好好的,沒有爛。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
hiza SaiSiyat maybih naehaen koSa: 'ita' naw 'okay ti'lilihi hisia ma' hiza kayzaeh 'atomalan.,"賽夏人很後悔,說,如果我們當初沒有欺負她的話,現在也很好。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
koSa'en lobih naehaen sia ma' kayni' ila.,就算求她她也不會回去了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
koSa ay yao ti'nililihan nao nimon.,"她說,我被你們欺負過。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
'oka' yao kayni' ka lobih 'in'alay ri'sa' lasia rasiwazay.,我不會回去。從此他們分開了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
hiza tabin haysani ma' isaa 'oka' ila kakita' ki saysiyat.,直到今日都沒有再見賽夏人。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isaa papay 'isaa ma'an ka panabih.,我的故事到此結束。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
korkoring kitkita ka 'aehoe'.,小孩正在看狗。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,test
'ima kitkita ka takem ray binbinisitan 'izo'.,他正在看容器裡的青蛙。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
korkoring ma'rem ila.,小孩去睡覺了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
korkoring 'okik ra:am ma'rem m'itol kita'en takem 'oka' ila.,"小孩不知道, 他起來看, 青蛙不見了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
sia haewaeh ka hinoehas 'aehoe' ra:iw ila tkaw ilaila.,"他打開窗戶, 狗跳出去了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
'aehoe' rima' tobong ka boya'.,狗對著蜂窩吠叫。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,test
korkoring masroko' isaa korkoring asengen noka boya'.,"小孩彎下腰, 蜂在叮他。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
hini 'aehoe' yo tobong lalenges lalengesen boya' kas'oehaz ila saboeh.,"狗對著蜂窩吠 搖, 搖一搖蜂全部都跑出來了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
hini takem ma' tikot ila.,青蛙也害怕,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
korkoring rima' ra:iw ray kaehoey babaw hayza ka roro'.,"小孩離開, 爬上有樹洞的樹頂。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,test
ray roro' 'izo' hayza ka 'oewi'.,洞裡有貓頭鷹。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
kas'oehaz korkoring homses.,"貓頭鷹出來, 小孩嚇一跳。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
'aehoe' noka boya' sowawen ila.,蜜蜂正在追狗。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,test
hini ko korkoring yo kababawawen noka 'oewi'.,貓頭鷹在小孩上面盤旋。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
korkoring rima' tai'itol ray bato' babaw.,小孩爬到石頭上面。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
ri'sa pakomoSa: pakomoSa: kaehoey nisia tikama'en ka kaeh'oeng.,"小孩抓住鹿角, 誤以為是樹枝",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
noka wae'ae' si'in'itol sia hoe'oengen kibabawen ray ta'oeloeh pa'ae'ae:aew ila.,"鹿把他頂在頭上, 然後跑走了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,validate
'aehoe' ma' tobong ila ma'oenhael ra:iw ila.,"狗也在吠, 然後一起跑走了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,validate
rima' nisia noka wae'ae' paksahae'en ray 'ataS ila hini kamasal.,"鹿把他們帶到懸崖上, 把他們丟下去。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
'aehoe' maybiil.,再來是狗。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,test
sikas'oemaeh ila kas'oemaeh ila.,他們往岸邊移動。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
'aehoe' palangoyon amaray horok 'am kababaw.,狗 游泳上岸。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
korkoring koSa: saksakaw.,小孩叫狗安靜。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,train
sia kita' ka takem hiza honay babaw.,他看到青蛙在那上面。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog8_parain a _oemaw.xml,standard,UNKNOWN,sentence,test
hayza' 'aehae' ka tatini'.,有一個老人。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isaa o: minboway ila ka niya pamowa'an.,他的果園長了水果。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,validate
rokrok ka boway.,那個老人去摘水果了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isaa o: rokrok ka boway 'oka' 'araS ka kala'.,"摘水果,可是都沒有帶著籃子。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
niya noka 'obos noka kaybae:en tino kala' 'ano o: isaza.,就用衣服的口袋來當作他的籃子。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,validate
'isahiza ka tatini' rima' ta'itol ila ha:o babaw o: rokrok ka boway.,"那個老人爬到樹上那邊,在摘水果。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isaa o: 'isaa ka hoehoeh ka Siri' lososo:oi: ilaha:o kabih.,那個拉著羊的人一直走走到另外一邊去了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isaa o: ka tatini' 'okay sahoeroe' ka 'isaza ka korkoring.,那個老人沒有看到那一個小孩。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
tatini' ha:o ray kaehoey babaw 'okay sasahoeroi.,"老人在樹上面那邊,沒有看到。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isaza ka rokrok ni baki' ka boway.,那個老人摘下來的水果,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,validate
ray ra:i' 'askan roSa' ila ka kala'.,摘了兩個籃子放在地上。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
marma' 'aehae' kala' niya 'araSen papama' ka kapapama'an.,"不知道怎麼了那個小孩偷了一個籃子,騎著腳踏車帶走了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
kita' ka nisia rokrok ka kala'.,看著他採的幾籃。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
komoSa: hayno' ila hini ma'an rokrok ka 'aehae' kala' ka boway hini.,說道:我剛剛採的那一籃水果跑去哪裡了呢?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
sia nak'ino.,他結果怎麼了呢?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
komoSa: yo 'aehae' naehaen ka korkoring mwa:i' ray ra:an.,在路上又有一個小孩子來了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
ila malben ila ray ra:i'.,"從腳踏車上跌到地上,摔得一踏糊塗。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,validate
hiza ka boway ray kala' sisae:aeh ila ray ra:i'.,那籃子裡的水果都灑出來到地上去了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
hiza 'ima haebae:aen ka korkoring kita' koSa: anh 'ampowa ila hini korkoring malben ray ra:i'.,那邊有很多小孩看到就說:這個小朋友怎麼跌到地上了呢?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
Sa kita'en hini' ka boway ray ra:i' sisae:aeh ila.,看到了這些水果倒出來撒在地上。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'askanen o: ray kala'.,放在籃子裡。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
nak'isaza ka korkoring rokrok ka boway.,像那樣子小孩子一起撿水果。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
sia nak'ino 'isaa.,他怎麼會這樣呢?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
ka korkoring kin 'ae'aewhay o:.,那些小孩都那麼壞,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
ma: marma' hiza ka boway ma: 'araSen ila si'aelen ila roSa'.,"也偷走了那些水果,還吃了兩個。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
ki:im ki:im ki:im 'okay tihoeroei o:.,找呀找呀找呀沒有找到。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isaa komoSa: ay nisia ra:amen komoSa: hini ka korkoring mwa:i'.,他可能想說這個小孩已有來過。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
hini' noka korkoring 'araSen ila ay ka hini ka boway.,這個水果被小孩子帶走了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
hm koSa: ma' 'ana nak'isaa 'al'alak So: korkoring si'ael ka hini ka boway ma' 'ampowa 'aewhay.,"雖然那些水果被小孩子吃掉了,那也不錯。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
kayzaeh o:.,也不錯呀!,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
yami tatini' 'ana 'okay si'ael ma' kayzaeh ila o:.,我們老人即使沒有吃也還好。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
'isa ma'an ka payaka:i' papay hini.,我說的故事就到這邊。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,sentence,train
o: baki' So'o mwa:i' ila hini' kala minayti' koza ila kin honaehnge.,"先生,你來他們這兒已經多久了?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
yo mwa:i' rini' 'am SayboSi: 'ilaS sizaeh.,"唷,我來這裡已經有六個月了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
a SayboSi: 'ilas ma hoenaehnge ila ka 'am samsah ila.,"啊,六個月喔,也滿久了。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
a mwa:i' hini kala minayti' niSo' kano' patawawen.,"那=你來他們這裡,你做什麼事啊?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,validate
o: matawaw maelahaeng ka span ka wa'ae' tabo sapeh o: ma' 'ima kikoso'.,"喔,我照顧養的鹿啊,餵它們吃東西啊,打掃啊,喔還有,除草啊。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
a koza' kasinpanan kin 'akoy.,"啊,那你們養很多嗎?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
sinpanan kinaroSa'an e mato:ol.,"養在兩個地方,總共有三十隻。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
mato:ol e piza' sinraehoe' hiza koSa'en ka wa'ae'.,三十喔。那鹿總共有幾種啊?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,validate
e 'aehae' naehaen sinkano'on.,另外一種是叫做什麼來的。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
'ihi' mita' noka SaiSiyat yao kik sekela o: koSa'en inak'inoan wa'a'.,"喔,我們賽夏人不知道怎麼叫那種鹿。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
ah noka 'inaray roSa' sinraehoe 'inaray babih.,另外兩個種類是來自別的地方。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
ah inaray kabih no wasal.,"啊,是從國外來的。",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,standard,UNKNOWN,sentence,train
