ckv,chinese,source,kindOf,dialect,row_type,split
qaRotoz ika po amoto mai pa mabenaR.,"水泥要弄厚一點,才不會裂掉。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
meRasa iko to podoq sasepezan ko to isi.,我買了甕我要裝酒釀 的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
poRetes na penanian ko bonol ti Raya ti.,我大腿的疔子又腫又大了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"poRoR zao Robatang, melizaq aiko tazian mawRat.","這個草原很漂亮,我很喜歡在這裡玩耍。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
posan ko ti taRaw ko.,我無法再承受我病了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
tengen ti posen na pilit qoRo ika.,湯鍋底部焦黑了刷一刷。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
paRtik to biRi na qawpiR pokennaw ika!,炒地瓜葉要放蒜頭!,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
maRtik iso to biRi na qawpiR si pokennaw ika.,妳炒地瓜菜時要加蒜頭。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
posamoz ika 'may nengi pa qanan.,飯要放芝麻才會好吃。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
potioy ika zanom saazasan ta sazenna.,我們要帶到田裡的水裝在水壺裡。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
poozip ika tened zao paRtik.,炒這個青菜要放薑。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
nipaloma ko to tened nizo poli ay.,我種的蔬菜都是綠色的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
melizaq aiko qeman to poli ay tamon.,我喜歡吃綠色的菜。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
mai iko melizaq siqodos to poli ay qodos.,我不喜歡穿綠色的衣服。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"poli zais so, metaRaw iso ni?","你的臉發青,你生病嗎?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
poli mata na laza 'nay.,那個人的眼睛是藍色的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
mowaza nipaloman niaq to poq.,我們種了很多花生。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
melizaq baqi ko qeman to Raq temamon to poq.,我爺爺喜歡喝酒配花生吃。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"pot ika tangan na moto zao, mai pa semosoR.","把這個老鼠洞堵住, 才不會進去。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
poasa ika niqanan ta satoto.,你去付我們吃的中餐的帳。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
aiko pa poasa ay to niqanan na.,他吃的我來付錢。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
paRtik to tamon naRin qamowazan positi.,炒菜不要放太多油。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
panmo iko potawiz to qodos zao.,幫我將這件衣服縫上釦子。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
poniR ika to 'may kaysing so.,妳的碗裡要裝滿飯。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
poniR zanom na bekisi zao.,這個水桶的水是滿的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
azo ponoq ta oRoan na sonis so.,妳的孩子頭上很像是長了癩痢頭。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
maRtik iso to tennad na baboy pokiamsay ika!,妳炒豬腸要放酸菜!,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
ponanom ika nipaloma so to tened qawka mai melaylay.,你種的菜要澆水才不會枯萎。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
matiw sa bawbi baqi ko ponanom to tened.,我爺爺到菜園幫青菜澆水。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
"naRin posadim ta iRoRan, qapatay ti tateman ay baot.","不要在河邊放魚籐, 小魚會死光光。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
posenizas tama ko seRay qaqa ko to papay.,我爸爸和哥哥在蓋工寮的屋頂。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"pisapat metad ta nasanan ya taqoq, polet ika.","雞在庭院亂大便,把雞關起來。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
poliz ka to pedatay sapaRitan to tened.,去搓芒草要綁菜用。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
popok iko to anem na.,我安撫他的心情。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"popok ika sonis so, mai pa moRing!","安撫一下你的孩子, 才不會哭!",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
posipos ika lima so banaw.,你洗手要搓揉。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"poten ika paRin 'nay, qazaw ita pa tanan.","那些木材捆綁起來,我們要挑回家。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
azas ka to potti sasepezan to sabag!,帶著你的麻袋 裝米!,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
polaten ika semangi to bongot simqena.,作頭飾要加了珠子 好看。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
"posabon ika banaw to lima, mala pa dasam na.","你要用肥皂洗手,髒汙才洗得掉。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
posidi' ika meRamaz to 'si na qabaw.,煮牛肉要加辣椒。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
mai poapok ti api qeman to dadas.,Api吃檳榔不放石灰。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
pon ti iko semangi hibang ti iko.,"我做好了,我就休息了。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"mai pama iso pon semangi, naRin ta hibang.","你還沒有完成,先不要休息。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
pon ti so kelawkaway qalazok ka temanan.,你的工作完成後早點回去。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
mowaza poti na mata so.,你的眼屎很多。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qaRaw ika toRoz ko.,幫我的背抓癢。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"zinneq paRin zao, qaRibis so ni?","這木頭很重,你能拖得動嗎?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qaRim sinsoli zao.,這個李子很酸。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
bola iko to qaliman kelawkaway pa iko.,把我要工作用的手套給我。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
azas ka to qaliman mai pa taRaw lima misis.,要帶手套 提 的時候手才不會痛。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qaRiman iko qeman to molo zao.,我吃這個橘子覺得很酸。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qaRiz ika semangi lazan zao, nengi pa saqayan na qiton.","這條路弄寬一點,車子才能開。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qalizaq sayza zin ko, timango melisaw nikasianeman ko.","我原本以為會高興,可是原來是我想錯了。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
nazao waway ko qalizaq iso ni?,我這樣的行為你會高興嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qalizen pa iko sa sangian to salil.,我要搓線 做魚網用。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qaRo pa iko to zanom sabanawan to lima.,我去舀水要洗手用的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
sangi pa iko to qaRo.,我要作杓子。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
qosazoi qaRobatang sonis zao.,這個小女孩將來 會很漂亮。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
tais ika qodos so to meqiqidat ay qaRobatang pa.,你的衣服要缝亮片會很漂亮。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qayRozik iso to kelisiw qaRopo ti so.,你偷錢會被關起來。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"zinneq aizipna, qababa so ni?","他很重,你能揹得動嗎?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qeseR aizipna, qababa na.","他很有力,他可以揹。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
nisangian to qabal qodos na baqi ko.,我爺爺的衣服是用麻做的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qabal salil na baqi ko masang.,我爺爺以前的魚網是用麻做的。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qabalang pa ita madded.,我們靠在一起坐下。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qabaw nani makken ay nengi ay kapot na pakowayan.,牛是農夫最真最好的朋友。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"masang sonis pama iko, pataz imi paRama to qabaw.","以前我小的時候,我們常常放牛吃草。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
panmidan ko kemiala qabed na kasa.,我把綠豆的殼挑撿開來。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
naRin toktokan galas 'nay qabedong ti!,那個玻璃不要敲 會破掉!,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
"naRin mawRat to peRasko 'nay, qabedong ti.","不要玩那個瓶子,會破掉。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
mai qabiseR ko ineb zao.,這個門我反鎖不起來。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"qabisoR ka qeman, Raya pa oRat so.","要吃飽一點,你的力氣才會大。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
semangi baqi ko to paRin ay qabtoan.,爺爺在作木頭的菜廚。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qabowiq pa ti molay na paRin zao.,這個樹的花快要開了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qabola so ti angaw ni?,你能給Angaw嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
"naRin qanan qabos zao, sapanan ko melawis to baot.","這個蝦不要吃,我要用來做釣魚的魚餌。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
posalil pa iko to qabos na lazing.,我要放龍蝦網。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qadados pa ti nipaRitan ko to boqes.,我綁的頭髮快鬆開了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"zinneq takan zao, mai qaisis, mai qadaken ko.","這個桌子太重,我抬不起來,也墊不起來。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
ala ka to qaddan saqadeddan na labang.,去拿椅子給客人坐。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
tiana mala to niseppaw ko qaddan tazian?,我放在這裡的椅子誰拿走的?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
metaRaw aiso qadiatip so aizipna ni?,你生病能照顧他嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"mai to qadod, Rayngo iko qeman to RoaRo.","沒有湯匙,我無法 吃稀飯。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
ngid iko qan to qaiR.,我想吃九孔。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"mabenaR ti paRin zao, qaketon pa ti.","這棵樹裂了,快斷了。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
mai qakilas ko 'si na baboy zao.,這個豬肉我切不動。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qakilim so waso ko ni?,你能找到我的狗嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qakotkot so betto zao pazokat ni?,你能把這個石頭挖出來嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qakoway so zenna zao ni?,你能耕作這塊田嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qalabo pa iso salekiaw ni? B: mai iko to lawad qalabo salekiaw.,你要參加跳舞嗎?B:我沒空參加跳舞。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qalaydaw ti tina so, qalazok ka temanan!","你媽媽會擔心,你早點回去吧!",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qalaydaw pama iso to lanas zao ni?,你還會擔心這件事情嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
sikawma baRqian qalimek ka.,耆老在說話安靜一點。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"qalimek ka ta, mai qaipil ko nisikawman na.","請你不要講話,我聽不到他說的話。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qalimek pa ita tazian temaqsi.,我們要安靜地在這裡讀書。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qalinan soani so paqaynep ni?,要讓你弟弟推著搖籃入睡嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
mazemon sonis zao qalingi so paqenanem ni?,那麼多小孩你一個人能顧的了嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qamai pa pasani kelisiw so?,你的錢怎麼會不見了呢?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qamai ika kelisiw so, oRing ti iso.","你的錢弄丟了,你就會哭。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
qalazok ka mala qamai ti iso to tongos.,快點拿不然你會沒份。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qamammaq tangi dedan.,今天天氣會很熱。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"dita' sangian to kezan, mai qamammaq kezan.","黏土作爐灶,爐灶不會熱。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"kitot qamet na leppaw zao, toRang ika.","這個家的支樑太小,加強一下。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
"qaypanay pa ita ti, Rasa ka to qamit.","我們要割稻了,去買齒鐮刀。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qamit ika ta kinil na olon ay qipenayan.,割田埂邊的稻子。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qamowza ika mala zin ko, manna nayao ma?","我說要多拿一點,爲什麼只有這樣?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
qamowaza ika qaypaRin.,撿木材撿多一點。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qamowaza ika mazas to kelisiw, mangay mai qasemmin.","多帶一些錢,免得不夠。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"nialan so patanan ay biabas, qanan ko ti.","你拿回來的芭樂,我吃掉了。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
kintolo qaniyao matiw sa naong semalaw.,他們三個人去山上打獵。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"qangi ma aiko matiw ay, soppaR iko pasaqay to qiton.","我去比較好, 我會開車。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
qangi ika waway nomi kelawkaway.,妳們要有良好工作的態度。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qaniss pa ti kon so, tebes ika pasa babaw.","你的褲子快掉了,把它拉上來。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qaniss na sonis zao qodos na ni?,這個小孩會脫掉自己的衣服嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
zaqos pa qaniyao ta iRoRan.,他們要到河邊去淨身。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
kikiya ma poniR ti ya qawas na qaniyao.,他們的簍子一下子就滿了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"simqena leppaw na qaniyao, mapezaw iko temayta.","他們的家很美,我看了很羨慕。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
kapot ko qaniyao.,他們是我的朋友。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qanonoan qakelawkawayan ta mai ta hibang ni?,我們的工作要接連著做都不休息嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qapaliyaw so balis zao ni?,這個鐵你能鑽得動嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qapaRan ko zapan na taqoq 'nay, Rayngo ti meRaRiw.","我抓住那隻雞的腳,就跑不掉了。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qapatadikod so niliwayan so to kelisiw ni?,你借的錢你還得出來嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qapateng na sonis 'nay ni?,那個小孩會道別嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"Raya oRat na baboy 'nay, mai qapatez niaq.","那條豬力氣很大,我們壓不住。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qapatto so paRin 'nay ni?,你能壓得住那個木頭嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"mai to ipit, qapo pa iko qeman.","沒有筷子,我要用手抓著吃。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qalazok ka meRaRiw, qapokon ti iso.","快點跑,不然你會被打。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qaponiR so to zanom bekisi zao ni?,這個水桶你能裝滿水嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
Rotoz qodos zao qaposipos so ni?,這個衣服很厚你搓得動嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
qapon tangi dedan semangi to leppaw zao.,這個房子今天可以做完。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qapon tangi kelawkawayan so?,你的工作今天能做完嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
qapon pa ti kelawkawayan ko.,我的工作快做完了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"paqanas iso kelawkaway, qomni qalepon iso?","你慢慢的做,什麼時候你才能完成?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
mipes kebalan to soni na qaq.,噶瑪蘭人很討厭烏鴉的叫聲。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"naRin qawRatan aizipna, qaqenot ti.","不要逗他, 會生氣。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qaqenot pa ti, naRin ti iso sikawma.","他快生氣了,你不要再講了。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"paqenanem qaqa ko to Ronanay, kinnaosa qaqa ko to tazongan.",我有一位哥哥、兩位姊姊。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"mawto iko kemilim to qaqa so, yao ta leppawan ni?","我來找你的姊姊,她在家嗎?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qasabekisi ma ngidan ko semin ti.,我只要一桶就夠了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,validate
"matiw iko sa amilika, qasabolan qawka iko manan.","我去美國,要一個月才能回來。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
leppaw zao qasangi iso ni?,這個房子你能做嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"masebang lazan zao, qomni qasangi semani?","這條坍方的路,不知道什麼時候可以做好?",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qasazan pa ita semaqay mezaki ma.,我們從橋上走比較近。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qamowaza ika qeman, qasebi ti iso.","多吃點,不然你會餓。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"naRin simtebes to qodos, qasebit ti.","不要互拉衣服,會破掉。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"qasiR aizipna meRaRiw, mai qatanoz ko.","他跑的很快,我追不上。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,test
qasiRis pa ti asa na dingki.,電價將要變貴了。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"naRin qawRatan to pasasani ay, qasikaz ti.","不要亂開玩笑,他會不好意思。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
qasobat so lazat 'nay ni?,你能跟那個人道歉嗎?,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"melozit qasomman na, semom taRaw.","他尿道發炎,小解 很痛。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
"sabetto qasomman na, Rayngo semomm.","他尿道結石,不能小解。",Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
tolis na kebalan ya qasop.,大葉山欖是噶瑪蘭族的圖騰。,Formosan-ILRDF_Dicts/Final_XML/Kavalan/Kavalan.xml,standard,UNKNOWN,sentence,train
